THE BUILDERS STOP LIMITED
"Distributor List 
 
"
"Company1:29CARLIBAYROAD,COUVA,,GSTNO:00000
"
Company Name,Division Name,Distributor Code,Distributor Name,Short Name,Distributor ID,Area Name,Address 1,Address 2,Address 3,Pin Code,Tel Res,Tel Off,Mobile No,E-Mail,Fax No,Land Mark,City,State,Country,Purchase type,SST No,VAT TIN,Drug LicNo1,Drug LicNo2,Excise Duty,Inventory Type,Active Status,Department,Date Of Birth,Location type,C-Form Configuration,Distributor Category Name,Currency type,Contact Person,Contact Designation,Credit Days,Trade Discount,Credit Amount,Debit,Balance Amount,HQ ID,Terms and Conditions,Distributor Location,Selling Margin%,PO Expiry (In Days),Global,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Remarks,Salesman 1,Salesman 2,Barcode Alias,Buying type,CID,HQ Home Outlet ID,Created Date,Edit Date,Retailoutletid,MRP Margin %,Single Ledger,Is TDS Not Applicable?,TDS Not Applicable Reason,Deduct TDS_TCS from 1st Bill,TDS Deduct Rate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Company,All Division,3020,A&S TENT RENTALS,,,AREA,SMR MC BEAN,,,0,,679-7625,717-6044,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-09-19 14:59:13,,1,0.00,No,No,,No,0.00
All Company,All Division,331,A.G.A. Industrial Supplies,,,AREA,#786 Papourie Road,,,0,,654-0658,358-7131,,,,Barrackpore,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-17 12:04:49,,1,0.00,No,No,,No,0.00
All Company,All Division,1172,ABC Bath Limited,,,AREA,#1 Chanka Str El Socorro,,,0,,674-8327,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-12-05 09:02:21,,1,0.00,No,No,,No,0.00
All Company,All Division,954,ABRASIVE HARDWARE SUPPLIES,,,AREA,,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-20 12:30:57,,1,0.00,No,No,,No,0.00
All Company,All Division,263,Abreu Trading Company,,,AREA,9 Edward Street,,,0,,623-6392,620-3029,,,,Port-of-Spain,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Mr. Abreu,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-09 09:08:14,2023-08-27 11:04:25,1,0.00,No,No,,No,0.00
All Company,All Division,1724,ACE AUTOCARE ENTERPRISES LTD,,,AREA,108 SMR COUVA,,,0,,665-4541/665-2186,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-04-25 16:51:55,,1,0.00,No,No,,No,0.00
All Company,All Division,2450,Agricultural Supplies & Seedling CO,,,AREA,TUNAPUNA,,,0,,223-1495,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-01-24 14:23:28,,1,0.00,No,No,,No,0.00
All Company,All Division,2924,AK Inspection and Rental,,,AREA,Lot #88 Ragoonanan Road,Penal,,0,,310-0443,470-6200,avinash@ak-irsl.com/ ak.irsltd@gmail.com,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-08-07 08:14:17,,1,0.00,No,No,,No,0.00
All Company,All Division,1404,ALCHEMI PRODUCTS LIMITED,,,AREA,187-191 Union road,,,0,,658-4614,430-5457,,,,Marabella,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Marisa,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-02-14 16:33:19,,1,0.00,No,No,,No,0.00
All Company,All Division,264,Ali Motor Spare & Hardware,,,AREA,64 Market Street Gopaul Lands,,,0,,321-5903,658-4984,alimotorsparesandhardware@gmail.com,,,Marabella,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-09 09:11:36,2023-08-27 11:04:44,1,0.00,No,No,,No,0.00
All Company,All Division,156,Alis Hardware &metal fabricators limited,,,AREA,191 Union rd Marabella,,,0,,658-4614/658-4968,329-5610,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Cindy,,0,0.00,0.00,0.00,0.00,0,30 days pd,,0.00,0,No,NO,No,No,No,No,No,No,,Azard,,,Material & Service,,0,2023-07-03 11:35:31,,1,0.00,No,No,,No,0.00
All Company,All Division,158,Alisha Marketing company ltd,,,AREA,,,,0,,,789-8885,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Sharon,,0,0.00,0.00,0.00,0.00,0,cash,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:38:09,2023-09-01 15:15:12,1,0.00,No,No,,No,0.00
All Company,All Division,2259,All Point Distributors,,,AREA,10B Chanka Trace,,,0,,319-3472,,,,,El Socorro,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-11-04 13:34:35,2025-02-05 12:40:05,1,0.00,No,No,,No,0.00
All Company,All Division,1380,Allied Industrial Supplies Company Ltd,,,AREA,2-12 Prince Charles St,,,0,,652-6900,,,,,San Fernando,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-02-05 16:30:54,,1,0.00,No,No,,No,0.00
All Company,All Division,1279,ALPAULSON CARIBBEAN,,,AREA,COUVA,,,0,,331-3161,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-01-04 15:39:14,,1,0.00,No,No,,No,0.00
All Company,All Division,2297,ALSTONS MARKETING COMPANY LIMITED,,,AREA,RODNEY ROAD ENDEAVOUR,,,0,,299-0892,671-2713,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-11-21 14:57:08,,1,0.00,No,No,,No,0.00
All Company,All Division,392,AMCO LTD,,,AREA,Uriah Butler Higway,,,0,,286-0882,,,,,Chaguanas,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-26 09:09:59,,1,0.00,No,No,,No,0.00
All Company,All Division,1846,Americas Marketing Company Limited,,,AREA,#22 Ramjohn Trace3,,,0,,,647-7653,,,,Penal,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-05-28 08:08:48,,1,0.00,No,No,,No,0.00
All Company,All Division,159,Ansa Coatings,,,AREA,Ansa mcal center 1st floor Chaguanas,,,0,,27-paint,267-4170,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,Reynard,,,Material & Service,,0,2023-07-03 11:41:06,,1,0.00,No,No,,No,0.00
All Company,All Division,2507,ARCRITE RETAIL,,,AREA,40-44 SUTTON STREET SAN FERNANDO,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-02-14 15:36:39,,1,0.00,No,No,,No,0.00
All Company,All Division,122,AS Brydens and sons Trinidad Ltd,,,AREA,Ibis Ave San Juan,,,0,,6749191,764-2705,info@bydenstt.com,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,Andrew,,,Material & Service,,0,2023-06-28 12:07:47,2023-07-03 12:01:12,1,0.00,No,No,,No,0.00
All Company,All Division,2793,Asphaltech Limited,,,AREA,#60 King street Princes Town,,,0,,681-8326,655-3418,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Ishwar,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-06-11 10:34:38,,1,0.00,No,No,,No,0.00
All Company,All Division,2671,AUTHENTIC BUILDERS,,,AREA,,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-04-23 10:36:46,,1,0.00,No,No,,No,0.00
All Company,All Division,160,Avni Marketing Ltd,,,AREA,51A Sunset Dr Lopinot Arouca,,,0,,642-0135,784-4449,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:42:54,,1,0.00,No,No,,No,0.00
All Company,All Division,1538,BAHA TRADING,,,AREA,,,,0,,,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-03-12 15:52:28,,1,0.00,No,No,,No,0.00
All Company,All Division,2375,Beepan Hardware,,,AREA,6 EXCHANGE LOTS COUVA,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-12-23 14:49:18,,1,0.00,No,No,,No,0.00
All Company,All Division,951,BEL AIR STORE LTD,,,AREA,#2 GOPAUL CIRCULAR DRIVE UNION PARK MARABELLA,,,0,,,658-3545,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-20 10:56:09,,1,0.00,No,No,,No,0.00
All Company,All Division,391,BG Industrial & General Suppliers Limited,,,AREA,Papourie Rd Barrackpore,,,0,,SALES REP 796-0130,788-9633,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-25 14:40:36,2024-04-22 14:13:51,1,0.00,No,No,,No,0.00
All Company,All Division,698,BHAGWANSINGHS,,,AREA,CHAGUANAS,,,0,,665-5700/1705,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-14 11:08:56,2023-09-17 08:04:09,1,0.00,No,No,,No,0.00
All Company,All Division,485,Bhagwansinghs Hardware,,,AREA,1 De Verteuil Street,Chaguanas,,0,,,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-09 15:47:40,2023-08-09 15:48:21,1,0.00,No,No,,No,0.00
All Company,All Division,3151,Blue Atlantic Investments Ltd,,,AREA,LP#96 North Oropouche Road,Sangre Grande,,0,,232-1729,488-2354,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-11-17 10:31:51,,1,0.00,No,No,,No,0.00
All Company,All Division,1108,BOODOOS ENTERPRISES LTD,,,AREA,33A SMR CHASE VILLAGE,,,0,,306-2081,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-11-21 15:18:22,2024-05-02 11:24:13,1,0.00,No,No,,No,0.00
All Company,All Division,437,BOSS The Business Supply Group Ltd,,,AREA,8 Fernandes Industrial Centre Laventille,,,0,,235-3333,626-1945,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-02 14:57:10,2023-08-05 12:54:05,1,0.00,No,No,,No,0.00
All Company,All Division,3168,Brijay Express Marketing Ltd,,,AREA,71 Delhi Road,,,0,,288-3336,339-0977,,,,Fyzabad,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-11-22 08:23:46,,1,0.00,No,No,,No,0.00
All Company,All Division,1270,Build To Last,,,AREA,Lp # 6 St Marys,Southern Main Road,,0,,299-4074,,,,,Couva,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-12-31 09:14:29,,1,0.00,No,No,,No,0.00
All Company,All Division,1302,C.DAKS,,,AREA,70 Manahambre Road,Ste Madeleine Village,,0,,222-3257,,sales@cdaksltc.com,,,San Fernando,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-01-12 13:18:54,,1,0.00,No,No,,No,0.00
All Company,All Division,268,C.P.M.L.  (AURA ENERGY),,,AREA,P.O. Box 127,,,0,,868-387-0404,868-360-0650,,,,Port-of-Spain,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,RIANNA,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-09 09:40:28,2025-02-14 15:48:48,1,0.00,No,No,,No,0.00
All Company,All Division,631,Caribbean Analytical Services Limited,,,AREA,Cor. Phoenix Pard Rd. West & Pacific Ave,,,0,,223-2279,,,,,Pt Lisas,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-01 14:49:08,,1,0.00,No,No,,No,0.00
All Company,All Division,1091,CARIBBEAN FASTENERS,,,AREA,,,,0,,202335071,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,ADRIAN,,,Material & Service,,0,2023-11-17 11:51:03,,1,0.00,No,No,,No,0.00
All Company,All Division,172,Caribbean Hardware & Investments ltd,,,AREA,13-17 Stadium link rd ext Marabella,,,0,,658-2442,382-2723,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,Reyard,,,Material & Service,,0,2023-07-03 12:11:53,,1,0.00,No,No,,No,0.00
All Company,All Division,3187,Caribean Welding Supplies Ltd (CWSL),,,AREA,Lp#8 Brickfield Road,,,0,,,673-0009,,,,Waterloo,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-12-01 11:52:24,,1,0.00,No,No,,No,0.00
All Company,All Division,2253,CARLI BAY HARDWARE,,,AREA,CARLI BAY,,,0,,679-3910,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-11-02 12:24:00,,1,0.00,No,No,,No,0.00
All Company,All Division,998,Carpenters Edge Limited,,,AREA,San Juan,,,0,,662-9586,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-27 11:30:46,,1,0.00,No,No,,No,0.00
All Company,All Division,467,Celina Marketing Limited,,,AREA,792 Paporie Rd Lower Barrackpore,,,0,,654-5847,,,,,290-7733,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-07 13:05:14,,1,0.00,No,No,,No,0.00
All Company,All Division,1130,Chaguanas Sawmill Outlet,,,AREA,,,,0,,242-7612,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-11-24 13:14:08,,1,0.00,No,No,,No,0.00
All Company,All Division,405,Christle Limited,,,AREA,Omeara Industrial rd Arima,,,0,,646-7640/7841/7641,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-28 08:29:26,2023-08-05 12:53:30,1,0.00,No,No,,No,0.00
All Company,All Division,157,CJ Lumber,,,AREA,242 Main road Londonville Chaguanas,,,0,,672-1976,290-1366,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Mr Narine,,0,0.00,0.00,0.00,0.00,0,14days pd,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:37:07,,1,0.00,No,No,,No,0.00
All Company,All Division,166,Classic Hardware,,,AREA,SMR Balmain,,,0,,326-2683,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:54:26,2023-09-17 08:05:38,1,0.00,No,No,,No,0.00
All Company,All Division,888,CMR COMPANY LTD,,,AREA,4 RESERVE RD MARABELLA,,,0,,235-4846,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-10 16:41:26,,1,0.00,No,No,,No,0.00
All Company,All Division,2075,COLMARK COMPANY TRINIDAD LIMITED,,,AREA,167 TRAGARETE ROAD PORT OF SPAIN,,,0,,793-7872,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-08-14 16:13:38,,1,0.00,No,No,,No,0.00
All Company,All Division,171,Coosal Blocks Caribbean LTD,,,AREA,31-45 Coosals blvd Madras Settement rd Chin Chin,EX PLANT REFORM,,0,,671-1578,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,SHOBA,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 12:05:50,2023-08-05 12:26:53,1,0.00,No,No,,No,0.00
All Company,All Division,1882,Cyrotec Ltd,,,AREA,42 Independence Avenue,,,0,,781-7792,,,,,San Fernando,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-06-07 14:43:35,,1,0.00,No,No,,No,0.00
All Company,All Division,474,D Twin Island Co. Ltd,,,AREA,1-3 Nehru Street Marabella,,,0,,,,,,,380-6299,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-08 13:18:49,2023-09-17 08:05:19,1,0.00,No,No,,No,0.00
All Company,All Division,345,D. Seebalack drive in hardware,,,AREA,#239 S.S Erin rd penal,,,0,,647-6956,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,andre,,14,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-19 12:41:38,,1,0.00,No,No,,No,0.00
All Company,All Division,334,D.I.Y Hardware Ltd,,,AREA,LP# A155 Mission Road,,,0,,738-0295,785-6783,0,,,Freeport,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,30,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-17 15:42:20,,1,0.00,No,No,,No,0.00
All Company,All Division,1016,DANSTEEL LIMITED,,,AREA,2.5MILES SOUTH TRUNK ROAD LA ROMAINE,,,0,,235-5202,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-30 16:23:11,,1,0.00,No,No,,No,0.00
All Company,All Division,419,DAVCO GENERAL TRADERS LTD,,,AREA,#14 Changoors Drive,"D.H.L Business Park, S.S. Erin Road",,0,,222-6100,295-1475,,,,Penal,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,30,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-29 15:36:14,2024-11-23 08:09:00,1,0.00,No,No,,No,0.00
All Company,All Division,314,Davids Plumbing & Hardware Limited,,,AREA,#4 Watts Street,,,0,,296-2328,377-7989,,,,St Augustine,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Mr. David,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-14 14:17:23,,1,0.00,No,No,,No,0.00
All Company,All Division,835,DINDIALS CENTRAL HARDWARE LTD,,,AREA,SMR MC BEAN,,,0,,636-2492,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-02 16:04:28,,1,0.00,No,No,,No,0.00
All Company,All Division,2577,Discount Door Centre,,,AREA,Corner Xavier Street Ext & Connector Road Chaguanas,,,0,,672-6917,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Josh/Adrian,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-03-18 16:10:38,,1,0.00,No,No,,No,0.00
All Company,All Division,2744,Doh Study It .com,,,AREA,cascade,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Ameera (eig),,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-05-22 13:04:09,,1,0.00,No,No,,No,0.00
All Company,All Division,768,DSB Marketing Limited,,,AREA,#3 Sandbox Field Carlsen Chaguanas,,,0,,18910,671-5725,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-22 13:04:46,2024-01-17 13:26:28,1,0.00,No,No,,No,0.00
All Company,All Division,1878,Dumore Enterprises Ltd,,,AREA,12-20 St. Joseph Road,,,0,,225-4440,,,,,San Fernando,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-06-06 16:52:22,,1,0.00,No,No,,No,0.00
All Company,All Division,3183,Edoos Welding and Industrial Supplies,,,AREA,San Fernando,,,0,,,652-4924,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-11-29 08:59:57,,1,0.00,No,No,,No,0.00
All Company,All Division,479,EIG (Electrical Industries Group Ltd,,,AREA,1 century dr Trincity,235-3445,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-08 15:50:36,,1,0.00,No,No,,No,0.00
All Company,All Division,3096,Elee Agencies,,,AREA,,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-10-24 12:50:50,,1,0.00,No,No,,No,0.00
